account,post_id,viral,cluster
yazilim.exe,2521884486258590341,0,0
yazilim.exe,2519969086646769683,0,1
yazilim.exe,2516814455866704578,0,0
yazilim.exe,2516151595008948237,0,1
yazilim.exe,2515312567527212853,0,1
yazilim.exe,2514832726356572893,0,0
yazilim.exe,2514575726863892307,0,1
yazilim.exe,2513882369867051971,0,1
yazilim.exe,2513501046765228887,0,0
yazilim.exe,2447963763015386424,0,0
yazilim.exe,2447870158891605338,0,1
yazilim.exe,2447420841290428281,0,1
yazilimci.genclik,2535805819262655725,0,0
yazilimci.genclik,2534356508211319476,0,0
yazilimci.genclik,2532906950650258921,0,0
yazilimci.genclik,2531457382167459448,0,0
yazilimci.genclik,2530007806026868200,0,0
yazilimci.genclik,2528558072805480736,0,0
yazilimci.genclik,2527108741294707491,0,0
yazilimci.genclik,2525658729657783437,0,0
yazilimci.genclik,2524209324568499012,0,0
yazilimci.genclik,2522065547989053494,0,0
yazilimci.genclik,2519181127827292933,0,0
yazilimci.genclik,2516961881703489212,0,0
yazilim.academy,2483799612788319660,0,1
yazilim.academy,2416990507264682361,0,0
yazilim.academy,2415626385822468268,0,0
yazilim.academy,2414142958577363443,0,0
yazilim.academy,2413266136574516812,0,0
yazilim.academy,2410557250797296194,0,0
yazilim.academy,2409806343486735695,0,0
yazilim.academy,2409734500780153525,0,0
yazilim.academy,2408259881816644432,0,0
yazilim.academy,2408130939558517461,0,0
yazilim.academy,2406717035393354396,0,0
yazilim.academy,2404707211134650178,0,0
yahya.kassid,2514864652688004924,0,1
yahya.kassid,2512626545733203875,0,1
yahya.kassid,2511841930655449245,0,1
yahya.kassid,2510476806925409623,0,1
yahya.kassid,2509788115403861353,0,1
yahya.kassid,2508282545236639050,0,1
yahya.kassid,2504749834450715905,0,1
yahya.kassid,2503252167107073504,0,1
yahya.kassid,2502532804729354069,0,1
yahya.kassid,2501834377288656204,0,1
yahya.kassid,2500370870017931178,0,1
yahya.kassid,2496760494285976388,0,0
xnetking,2610120543154520823,0,0
xnetking,2609755650171298560,0,0
xnetking,2608349656639667230,0,0
xnetking,2607281784886690610,0,0
xnetking,2606787166479572857,0,0
xnetking,2606484664452169697,0,0
xnetking,2605877399781114378,0,0
xnetking,2605796587628596508,0,0
xnetking,2605019740059289463,0,0
xnetking,2604356967766710608,0,0
xnetking,2604314853120569802,0,0
xnetking,2604024465384153662,0,0
xgrid.co,2603697986246279728,0,0
xgrid.co,2603044569653099964,0,0
xgrid.co,2601503835840963178,0,0
xgrid.co,2600080499465839989,0,1
xgrid.co,2598945241405653234,0,0
xgrid.co,2593572434172352205,0,1
xgrid.co,2592264916290225405,0,0
xgrid.co,2589198587857214789,0,0
xgrid.co,2586565161022923077,0,0
xgrid.co,2585699449555440428,0,0
xgrid.co,2585696455208264765,0,0
xgrid.co,2583442221297491261,0,0
xcybersecurity,2589771621384416188,0,0
xcybersecurity,2589326689926393346,0,0
xcybersecurity,2588461721237422897,0,0
xcybersecurity,2587022918710764757,0,0
xcybersecurity,2586156415283130846,0,0
xcybersecurity,2585554729749509643,0,0
xcybersecurity,2583354921001632290,0,0
xcybersecurity,2578450621712389031,1,0
xcybersecurity,2576814321531285700,1,0
xcybersecurity,2576227276727276886,0,0
xcybersecurity,2575490127547715045,1,0
xcybersecurity,2574835503958331646,0,0
worldprogramming.co,2665350993402713565,1,0
worldprogramming.co,2665350321710211286,0,0
worldprogramming.co,2664713453305863499,1,0
